modifiers,Sizz,Sizzle,Bang,Kaboom,Snooze,Flame Slash,Kacrackle Slash,Metal Slash,Hatchet Man,Whack,Thwack,Magic Burst,Kamikazee,Psyche Up,Oomph,Acceleratle,Kaclang,Bounce,Heal,Hocus Pocus,Zoom
"{'zoomModifier': False, 'metalOpponent': False, 'last30Seconds': False, 'healUsedUp': False, 'psycheUpActive': False, 'oomphActive': True, 'acceleratleActive': False, 'bounceActive': True, 'bounceModifier': False}",0.2470020708455909,0.2838283986802553,0.247002070845591,0.2838283986802552,0.2829413794519225,0.2918722711397819,0.2918722711397819,0.1554312481133144,0.2918722711397819,0.158446102575822,0.2165340693926302,0.1183349006901232,0.1183349006901232,0.2734665089331882,0.0,0.1721916987792338,0.0978102410264566,0.0,0.1299951803159582,0.0758305977631855,0.2634054197970042
"{'zoomModifier': False, 'metalOpponent': False, 'last30Seconds': False, 'healUsedUp': False, 'psycheUpActive': False, 'oomphActive': True, 'acceleratleActive': False, 'bounceActive': True, 'bounceModifier': True}",0.2470020708455909,0.2838283986802553,0.247002070845591,0.2838283986802552,0.2829413794519225,0.2918722711397819,0.2918722711397819,0.1554312481133144,0.2918722711397819,0.158446102575822,0.2165340693926302,0.1183349006901232,0.1183349006901232,0.2734665089331882,0.0,0.1721916987792338,0.0978102410264566,0.0,0.1299951803159582,0.0758305977631855,0.2634054197970042
"{'zoomModifier': False, 'metalOpponent': False, 'last30Seconds': False, 'healUsedUp': False, 'psycheUpActive': False, 'oomphActive': True, 'acceleratleActive': True, 'bounceActive': False, 'bounceModifier': False}",0.2389666951746901,0.27563719111609,0.2389666951746902,0.2756371911160901,0.2736323916210835,0.2825629971369544,0.2825629971369539,0.1483635100804755,0.2825629971369537,0.1519262700286129,0.2086102623525665,0.1125888280635421,0.1125888280635421,0.2641825413173427,0.0,0.0,0.1125888280635422,0.2641825413173427,0.1483635100804753,0.0719004717150379,0.2541752533040118
"{'zoomModifier': False, 'metalOpponent': False, 'last30Seconds': False, 'healUsedUp': False, 'psycheUpActive': False, 'oomphActive': True, 'acceleratleActive': True, 'bounceActive': False, 'bounceModifier': True}",0.2495847457063819,0.286452573038269,0.2495847457063819,0.286452573038269,0.2859438217118683,0.2948726717283975,0.2948726717283978,0.1577262066104679,0.2948726717283979,0.1605567129170574,0.2190920232623744,0.1202028656748086,0.1202028656748086,0.2764630100323279,0.0,0.0,0.1202028656748086,0.0816945001189529,0.1577262066104679,0.0771096020475411,0.2663866669900212
"{'zoomModifier': False, 'metalOpponent': False, 'last30Seconds': False, 'healUsedUp': False, 'psycheUpActive': False, 'oomphActive': True, 'acceleratleActive': True, 'bounceActive': True, 'bounceModifier': False}",0.2570896268996547,0.2940534122914039,0.2570896268996548,0.2940534122914038,0.294680901273826,0.3035973641440163,0.3035973641440159,0.1644543207916882,0.3035973641440159,0.1667270776424594,0.2265475527618626,0.1256867961787422,0.1256867961787422,0.2851893020891254,0.0,0.0,0.1040953917550093,0.0,0.137909136244073,0.0808694992254933,0.2750750550448115
"{'zoomModifier': False, 'metalOpponent': False, 'last30Seconds': False, 'healUsedUp': False, 'psycheUpActive': False, 'oomphActive': True, 'acceleratleActive': True, 'bounceActive': True, 'bounceModifier': True}",0.2570896268996547,0.2940534122914039,0.2570896268996548,0.2940534122914038,0.294680901273826,0.3035973641440163,0.3035973641440159,0.1644543207916882,0.3035973641440159,0.1667270776424594,0.2265475527618626,0.1256867961787422,0.1256867961787422,0.2851893020891254,0.0,0.0,0.1040953917550093,0.0,0.137909136244073,0.0808694992254933,0.2750750550448115
"{'zoomModifier': False, 'metalOpponent': False, 'last30Seconds': False, 'healUsedUp': False, 'psycheUpActive': True, 'oomphActive': False, 'acceleratleActive': False, 'bounceActive': False, 'bounceModifier': False}",0.2253673628440178,0.2615301630568037,0.2253673628440178,0.2615301630568037,0.2576419467430422,0.2665026997377486,0.2665026997377487,0.1368296568184755,0.2665026997377486,0.1411602288437519,0.1952576754461844,0.1033197219414835,0.1033197219414835,0.0,0.2483064219478283,0.2483064219478283,0.1033197219414835,0.2483064219478283,0.1368296568184757,0.0656350457295483,0.2384642069176938
"{'zoomModifier': False, 'metalOpponent': False, 'last30Seconds': False, 'healUsedUp': False, 'psycheUpActive': True, 'oomphActive': False, 'acceleratleActive': False, 'bounceActive': False, 'bounceModifier': True}",0.2349154889813249,0.2714386179668023,0.2349154889813249,0.2714386179668023,0.2688459952704942,0.2777564399226944,0.2777564399226943,0.1449097157064399,0.2777564399226945,0.1487070962820119,0.2046185356688586,0.1098137459652478,0.1098137459652477,0.0,0.2594297116926037,0.2594297116926037,0.1098137459652477,0.0742342836092274,0.14490971570644,0.0700251780358005,0.2494712847754392
"{'zoomModifier': False, 'metalOpponent': False, 'last30Seconds': False, 'healUsedUp': False, 'psycheUpActive': True, 'oomphActive': False, 'acceleratleActive': False, 'bounceActive': True, 'bounceModifier': False}",0.2527105468150429,0.2895799373140211,0.2527105468150429,0.2895799373140211,0.2894572112838742,0.2983695579556228,0.298369557955623,0.1605602609242537,0.2983695579556231,0.1631455832679381,0.2221623568006325,0.12254054070882,0.12254054070882,0.0,0.1776671046237255,0.1776671046237255,0.1014175826268035,0.0,0.1345135508495632,0.0787324859319325,0.2699060355249129
"{'zoomModifier': False, 'metalOpponent': False, 'last30Seconds': False, 'healUsedUp': False, 'psycheUpActive': True, 'oomphActive': False, 'acceleratleActive': False, 'bounceActive': True, 'bounceModifier': True}",0.2527105468150429,0.2895799373140211,0.2527105468150429,0.2895799373140211,0.2894572112838742,0.2983695579556228,0.298369557955623,0.1605602609242537,0.2983695579556231,0.1631455832679381,0.2221623568006325,0.12254054070882,0.12254054070882,0.0,0.1776671046237255,0.1776671046237255,0.1014175826268035,0.0,0.1345135508495632,0.0787324859319325,0.2699060355249129
"{'zoomModifier': False, 'metalOpponent': False, 'last30Seconds': False, 'healUsedUp': False, 'psycheUpActive': True, 'oomphActive': False, 'acceleratleActive': True, 'bounceActive': False, 'bounceModifier': False}",0.2389666951746901,0.2756371911160903,0.23896669517469,0.2756371911160901,0.2736323916210831,0.2825629971369539,0.282562997136954,0.1483635100804755,0.2825629971369539,0.1519262700286129,0.2086102623525665,0.1125888280635422,0.1125888280635422,0.0,0.2641825413173426,0.0,0.1125888280635421,0.2641825413173426,0.1483635100804753,0.0719004717150379,0.2541752533040119
"{'zoomModifier': False, 'metalOpponent': False, 'last30Seconds': False, 'healUsedUp': False, 'psycheUpActive': True, 'oomphActive': False, 'acceleratleActive': True, 'bounceActive': False, 'bounceModifier': True}",0.2495847457063822,0.2864525730382687,0.2495847457063821,0.2864525730382687,0.2859438217118686,0.2948726717283979,0.2948726717283975,0.1577262066104678,0.2948726717283975,0.1605567129170575,0.2190920232623742,0.1202028656748086,0.1202028656748086,0.0,0.2764630100323278,0.0,0.1202028656748086,0.0816945001189529,0.1577262066104678,0.0771096020475411,0.266386666990021
"{'zoomModifier': False, 'metalOpponent': False, 'last30Seconds': False, 'healUsedUp': False, 'psycheUpActive': True, 'oomphActive': False, 'acceleratleActive': True, 'bounceActive': True, 'bounceModifier': False}",0.2632129986367625,0.3001346449224062,0.2632129986367625,0.3001346449224062,0.3015757610833831,0.3104483927199749,0.3104483927199747,0.1701137992394742,0.3104483927199746,0.1718666579408156,0.2325986856681898,0.1303707129258788,0.1303707129258788,0.0,0.1878671511342227,0.0,0.1081317706244821,0.0,0.1429272944102743,0.0841317117124308,0.2820052770567062
"{'zoomModifier': False, 'metalOpponent': False, 'last30Seconds': False, 'healUsedUp': False, 'psycheUpActive': True, 'oomphActive': False, 'acceleratleActive': True, 'bounceActive': True, 'bounceModifier': True}",0.2632129986367625,0.3001346449224062,0.2632129986367625,0.3001346449224062,0.3015757610833831,0.3104483927199749,0.3104483927199747,0.1701137992394742,0.3104483927199746,0.1718666579408156,0.2325986856681898,0.1303707129258788,0.1303707129258788,0.0,0.1878671511342227,0.0,0.1081317706244821,0.0,0.1429272944102743,0.0841317117124308,0.2820052770567062
"{'zoomModifier': False, 'metalOpponent': False, 'last30Seconds': False, 'healUsedUp': False, 'psycheUpActive': True, 'oomphActive': True, 'acceleratleActive': False, 'bounceActive': False, 'bounceModifier': False}",0.2389666951746902,0.2756371911160902,0.23896669517469,0.2756371911160902,0.2736323916210831,0.2825629971369539,0.282562997136954,0.1483635100804754,0.2825629971369538,0.1519262700286129,0.2086102623525664,0.1125888280635422,0.1125888280635422,0.0,0.0,0.2641825413173427,0.1125888280635421,0.2641825413173427,0.1483635100804753,0.0719004717150379,0.254175253304012
"{'zoomModifier': False, 'metalOpponent': False, 'last30Seconds': False, 'healUsedUp': False, 'psycheUpActive': True, 'oomphActive': True, 'acceleratleActive': False, 'bounceActive': False, 'bounceModifier': True}",0.2495847457063821,0.2864525730382689,0.2495847457063822,0.2864525730382689,0.2859438217118686,0.2948726717283979,0.2948726717283976,0.1577262066104678,0.2948726717283975,0.1605567129170575,0.2190920232623744,0.1202028656748086,0.1202028656748086,0.0,0.0,0.2764630100323278,0.1202028656748086,0.081694500118953,0.1577262066104678,0.0771096020475411,0.2663866669900211
